Environment:
	Python: 3.6.8
	PyTorch: 1.7.1
	Torchvision: 0.8.2
	CUDA: 10.2
	CUDNN: 7605
	NumPy: 1.19.5
	PIL: 8.3.2
Args:
	algorithm: IB_ERM
	checkpoint_freq: None
	data_dir: ./domainbed/data/MNIST
	dataset: ColoredMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 5
	output_dir: ./sweep_ib_cmnist/8c5ba188dba187ce1b91a18feb430cc4
	save_model_every_checkpoint: False
	seed: 1158373042
	skip_model_save: False
	steps: None
	task: domain_generalization
	test_envs: [0]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	batch_size: 39
	class_balanced: False
	data_augmentation: True
	ib_lambda: 3.2917587403931643
	ib_penalty_anneal_iters: 592
	lr: 0.00023968517445719083
	nonlinear_classifier: False
	resnet18: False
	resnet_dropout: 0.5
	weight_decay: 0.0
IB_penalty    env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  epoch         loss          mem_gb        nll           step          step_time    
0.0281577483  0.4972680523  0.4969995714  0.4907590936  0.4849978568  0.4914019393  0.5012858980  0.0000000000  0.6955013871  0.1191134453  0.6955013871  0             0.5267453194 
0.0383644838  0.4544139704  0.4534933562  0.4727594150  0.4633519074  0.6187389511  0.6234462066  0.2089248406  0.6968225026  0.1232662201  0.6968225026  100           0.0692554903 
0.0350256342  0.4691986287  0.4699957137  0.4987410939  0.4980711530  0.6131140515  0.6039434205  0.4178496813  0.6705759931  0.1232662201  0.6705759931  200           0.0455823827 
0.0227861076  0.6034926077  0.5936562366  0.6224353137  0.6123017574  0.7060588204  0.7123874839  0.6267745219  0.6517934316  0.1232662201  0.6517934316  300           0.0457404375 
0.0217901791  0.6566316692  0.6530218603  0.6756307923  0.6708101157  0.7398082177  0.7449635662  0.8356993625  0.6133023876  0.1232662201  0.6133023876  400           0.0454390621 
0.0241362035  0.6811656310  0.6770252893  0.6941126051  0.6939562795  0.7355225800  0.7376768110  1.0446242031  0.6043876326  0.1232662201  0.6043876326  500           0.0454799128 
0.0236536161  0.6915041783  0.6888126875  0.7060588204  0.7111015859  0.7181121766  0.7211744535  1.2535490438  0.5992752165  0.1232662201  0.5992752165  600           0.1023735356 
0.0077211508  0.6728626527  0.6633090441  0.6854341887  0.6819545649  0.7355761504  0.7387483926  1.4624738844  0.6248136550  0.1232662201  0.6248136550  700           0.0917379808 
0.0066912688  0.6960038569  0.6888126875  0.7112015857  0.7132447492  0.7348797343  0.7396056580  1.6713987250  0.6072763187  0.1232662201  0.6072763187  800           0.0801605392 
0.0060880311  0.6842725520  0.6840977282  0.7018803236  0.7014573511  0.7484330637  0.7567509644  1.8803235657  0.5996356821  0.1232662201  0.5996356821  900           0.0817895937 
0.0053138986  0.7137883008  0.7123874839  0.7249691970  0.7284612087  0.7192907270  0.7265323618  2.0892484063  0.5979941249  0.1232662201  0.5979941249  1000          0.0869153452 
0.0043565103  0.6300085708  0.6236605229  0.6518990732  0.6487355336  0.7460759629  0.7496785255  2.2981732469  0.6109723473  0.1232662201  0.6109723473  1100          0.0904467392 
0.0046848801  0.7020569959  0.6999571367  0.7197192907  0.7256750964  0.7470938019  0.7535362195  2.5070980875  0.5884481424  0.1232662201  0.5884481424  1200          0.0800525713 
0.0042774027  0.6956824513  0.6905272182  0.7130229817  0.7151735962  0.7507901645  0.7546078011  2.7160229282  0.5882535371  0.1232662201  0.5882535371  1300          0.0720669246 
0.0040977427  0.6906470966  0.6864552079  0.7102373172  0.7089584226  0.7426474527  0.7430347192  2.9249477688  0.5871900737  0.1232662201  0.5871900737  1400          0.0458235884 
0.0037113489  0.7063959717  0.7025289327  0.7235227942  0.7246035148  0.7455402582  0.7458208315  3.1338726094  0.5879504815  0.1232662201  0.5879504815  1500          0.0454733300 
0.0034549471  0.7086993786  0.7059579940  0.7228799486  0.7248178311  0.7462902448  0.7503214745  3.3427974500  0.5971049747  0.1232662201  0.5971049747  1600          0.0423928928 
0.0037089480  0.7004499679  0.6982426061  0.7188621632  0.7207458208  0.7518615739  0.7548221174  3.5517222907  0.5771283406  0.1232662201  0.5771283406  1700          0.0472811413 
0.0032125920  0.6930576387  0.6900985855  0.7151658006  0.7162451779  0.7528794129  0.7537505358  3.7606471313  0.5932286233  0.1232662201  0.5932286233  1800          0.1361969304 
0.0032858192  0.6973966145  0.6963137591  0.7165050624  0.7188169739  0.7549686613  0.7597513931  3.9695719719  0.5788705897  0.1232662201  0.5788705897  1900          0.0990638614 
0.0032934059  0.7139490036  0.7076725246  0.7295762576  0.7250321474  0.7416296138  0.7445349336  4.1784968126  0.5735847732  0.1232662201  0.5735847732  2000          0.0998415208 
0.0031556339  0.6964859653  0.6941705958  0.7188621632  0.7158165452  0.7563079231  0.7606086584  4.3874216532  0.5784191474  0.1232662201  0.5784191474  2100          0.0847633624 
0.0029931001  0.7098778659  0.7046720960  0.7292012643  0.7261037291  0.7496116141  0.7507501072  4.5963464938  0.5791600126  0.1232662201  0.5791600126  2200          0.0747662902 
0.0028041788  0.7077887294  0.7055293613  0.7283441367  0.7226746678  0.7510580168  0.7516073725  4.8052713344  0.5801963711  0.1232662201  0.5801963711  2300          0.0799598408 
0.0029100374  0.7195200343  0.7168881269  0.7370225532  0.7318902700  0.7388975197  0.7391770253  5.0141961751  0.5742471796  0.1232662201  0.5742471796  2400          0.0560025477 
0.0028532334  0.7100921363  0.7083154736  0.7288262710  0.7278182598  0.7524508491  0.7537505358  5.2231210157  0.5671776965  0.1232662201  0.5671776965  2500          0.0435384202 
0.0027286445  0.7114313263  0.7087441063  0.7324690631  0.7276039434  0.7482723523  0.7477496785  5.4320458563  0.5715308887  0.1232662201  0.5715308887  2600          0.0440445161 
0.0025089991  0.7152346261  0.7151735962  0.7346118819  0.7301757394  0.7467723791  0.7462494642  5.6409706970  0.5751685727  0.1232662201  0.5751685727  2700          0.0446329737 
0.0027155715  0.7098778659  0.7044577797  0.7318797879  0.7235319331  0.7481652113  0.7458208315  5.8498955376  0.5653920451  0.1232662201  0.5653920451  2800          0.0425409842 
0.0025709076  0.6938611528  0.6971710244  0.7245406332  0.7141020146  0.7581828896  0.7561080154  6.0588203782  0.5710715640  0.1232662201  0.5710715640  2900          0.1328591251 
0.0025866665  0.7136811656  0.7113159023  0.7339154658  0.7312473210  0.7521829967  0.7518216888  6.2677452188  0.5685076979  0.1232662201  0.5685076979  3000          0.0804899192 
0.0025995435  0.7051639169  0.6993141877  0.7311833717  0.7198885555  0.7502008893  0.7428204029  6.4766700595  0.5624625626  0.1232662201  0.5624625626  3100          0.0896154070 
0.0024357388  0.6995928862  0.6995285041  0.7255584722  0.7177453922  0.7619863931  0.7569652808  6.6855949001  0.5793388927  0.1232662201  0.5793388927  3200          0.0892842293 
0.0025488661  0.7066638097  0.7053150450  0.7307548079  0.7222460351  0.7555043660  0.7528932705  6.8945197407  0.5590950492  0.1232662201  0.5590950492  3300          0.0840079737 
0.0024225111  0.7098778659  0.7070295757  0.7361654256  0.7278182598  0.7570043392  0.7490355765  7.1034445813  0.5598468134  0.1232662201  0.5598468134  3400          0.0906632423 
0.0024762909  0.7055924577  0.7063866267  0.7367011303  0.7303900557  0.7573793325  0.7471067295  7.3123694220  0.5636392006  0.1232662201  0.5636392006  3500          0.0580206585 
0.0024010167  0.6922541247  0.6913844835  0.7259870359  0.7149592799  0.7634327958  0.7552507501  7.5212942626  0.5604394588  0.1232662201  0.5604394588  3600          0.0457544684 
0.0024348542  0.7124491108  0.7108872696  0.7400224996  0.7299614231  0.7569507687  0.7458208315  7.7302191032  0.5581384954  0.1232662201  0.5581384954  3700          0.0453887129 
0.0024943661  0.7102528391  0.7108872696  0.7424331708  0.7258894128  0.7541115337  0.7460351479  7.9391439439  0.5480241722  0.1232662201  0.5480241722  3800          0.0449768853 
0.0023898983  0.7072530534  0.7091727390  0.7400224996  0.7218174025  0.7546472384  0.7415345049  8.1480687845  0.5535398081  0.1232662201  0.5535398081  3900          0.0897398877 
0.0024401819  0.7145918149  0.7104586369  0.7452188354  0.7325332190  0.7559865002  0.7428204029  8.3569936251  0.5531423038  0.1232662201  0.5531423038  4000          0.0829348135 
0.0023996872  0.6789693593  0.6761680240  0.7280762844  0.6990998714  0.7782718166  0.7565366481  8.5659184657  0.5507138205  0.1232662201  0.5507138205  4100          0.0895910335 
0.0025262516  0.7113777587  0.7057436777  0.7473080838  0.7267466781  0.7560400707  0.7353193313  8.7748433064  0.5379611239  0.1232662201  0.5379611239  4200          0.0857881856 
0.0024352056  0.7110027855  0.7089584226  0.7481652113  0.7278182598  0.7615042589  0.7441063009  8.9837681470  0.5456384096  0.1232662201  0.5456384096  4300          0.0785659719 
